#71603 YQI Yarmouth Observations at 12Z 20 Jun 2014</H2>
#----------------------------------------------------------------------------
#  PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#   hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#----------------------------------------------------------------------------
 1009.0      9   13.6    7.6     67   6.53    330     10  286.0  304.5  287.1
 1008.0     17   12.0    6.0     67   5.85    330     11  284.5  301.0  285.5
 1000.0     85   10.8    4.8     66   5.42    330     15  283.9  299.3  284.9
  973.9    305   10.0    3.0     62   4.89    330     22  285.3  299.3  286.1
  938.8    610    8.9    0.4     55   4.22    305     25  287.1  299.4  287.9
  925.0    733    8.4   -0.6     53   3.98    310     25  287.9  299.5  288.6
  904.8    914    6.9   -1.3     56   3.87    305     26  288.2  299.6  288.9
  871.7   1219    4.5   -2.4     61   3.69    310     27  288.7  299.6  289.4
  850.0   1425    2.8   -3.2     65   3.57    310     29  289.1  299.6  289.7
  839.6   1524    1.9   -3.2     69   3.60    300     29  289.1  299.8  289.8
  825.0   1666    0.6   -3.3     75   3.65    302     30  289.2  300.0  289.9
  808.4   1829   -0.0   -6.6     61   2.89    305     32  290.3  298.9  290.8
  806.0   1852   -0.1   -7.1     59   2.80    305     32  290.4  298.8  290.9
  777.8   2134   -2.5   -8.6     63   2.58    310     38  290.8  298.6  291.3
  748.5   2438   -5.0  -10.2     67   2.35    315     30  291.2  298.4  291.7
  730.0   2635   -6.7  -11.3     70   2.22    312     27  291.5  298.3  291.9
  720.0   2743   -6.2  -14.5     52   1.74    310     25  293.2  298.7  293.5
  718.0   2765   -6.1  -15.1     49   1.66    310     26  293.6  298.8  293.9
  700.0   2963   -7.1  -22.1     29   0.94    305     33  294.6  297.6  294.8
  697.0   2997   -6.9  -24.9     22   0.73    305     33  295.2  297.6  295.3
  639.9   3658  -11.2  -26.7     27   0.68    295     39  297.6  299.9  297.8
  628.0   3804  -12.1  -27.1     28   0.66    288     43  298.2  300.4  298.3
  615.0   3962  -12.9  -28.9     25   0.57    280     48  299.0  301.0  299.1
  590.8   4267  -14.5  -32.4     20   0.43    280     52  300.6  302.2  300.7
  545.1   4877  -17.6  -39.2     13   0.23    275     58  303.9  304.8  304.0
  541.0   4934  -17.9  -39.9     13   0.22    275     59  304.2  305.0  304.3
  534.0   5031  -18.5  -42.5     10   0.17    274     59  304.6  305.3  304.7
  500.0   5520  -21.9  -39.9     18   0.24    270     64  306.3  307.2  306.3
  492.0   5638  -22.9  -44.9     12   0.14    270     67  306.5  307.0  306.5
  481.8   5791  -24.1  -38.7     25   0.28    270     70  306.8  307.8  306.9
  477.0   5864  -24.7  -35.7     35   0.38    269     70  307.0  308.4  307.0
  461.9   6096  -26.4  -38.5     31   0.30    265     71  307.7  308.8  307.8
  450.0   6285  -27.7  -40.7     28   0.24    265     72  308.4  309.3  308.4
  446.0   6349  -27.7  -49.7     10   0.09    265     72  309.1  309.5  309.2
  400.0   7120  -33.9  -42.9     40   0.22    265     76  310.9  311.7  310.9
  396.0   7191  -34.5  -42.5     44   0.23    266     77  311.0  311.8  311.0
  372.2   7620  -38.0  -47.5     36   0.14    270     80  311.9  312.5  311.9
  366.0   7737  -38.9  -48.9     34   0.12    270     81  312.2  312.7  312.2
  357.0   7907  -39.9  -52.0     26   0.09    270     82  313.1  313.4  313.1
  356.1   7925  -40.0  -52.3     26   0.08    270     82  313.2  313.5  313.2
  341.0   8221  -41.7  -57.7     16   0.05    270     78  314.7  314.9  314.8
  300.0   9090  -42.3  -67.3      5   0.01    270     67  325.6  325.7  325.6
  297.6   9144  -42.5  -68.3      4   0.01    270     67  326.1  326.2  326.1
  297.0   9158  -42.5  -68.5      4   0.01    270     67  326.3  326.3  326.3
  294.0   9226  -42.7  -68.7      4   0.01    270     65  326.9  327.0  326.9
  287.0   9389  -41.5  -71.5      2   0.01    270     62  330.9  331.0  330.9
  259.9  10058  -42.8  -75.0      2   0.01    270     50  338.5  338.6  338.5
  250.0  10320  -43.3  -76.3      1   0.00    275     53  341.6  341.6  341.6
  237.4  10668  -43.5  -76.8      1   0.00    280     51  346.4  346.4  346.4
  207.2  11582  -44.0  -77.9      1   0.00    285     48  359.2  359.3  359.2
  203.0  11720  -44.1  -78.1      1   0.00    285     46  361.2  361.3  361.2
  200.0  11820  -43.9  -78.9      1   0.00    285     44  363.1  363.1  363.1
  190.0  12165  -43.1  -78.1      1   0.00    283     41  369.7  369.8  369.7
  177.0  12640  -44.1  -79.1      1   0.00    280     37  375.7  375.7  375.7
  169.0  12949  -46.5  -80.5      1   0.00    278     34  376.7  376.7  376.7
  164.0  13148  -45.7  -79.7      1   0.00    277     32  381.3  381.3  381.3
  157.6  13411  -46.3  -79.9      1   0.00    275     30  384.5  384.6  384.5
  150.5  13716  -47.0  -80.1      1   0.00    295     35  388.4  388.4  388.4
  150.0  13740  -47.1  -80.1      1   0.00    290     33  388.7  388.7  388.7
  144.0  14010  -47.9  -80.9      1   0.00    309     22  391.9  391.9  391.9
  143.8  14021  -47.9  -80.8      1   0.00    310     22  392.1  392.2  392.1
  140.0  14196  -47.1  -80.1      1   0.00    299     19  396.4  396.5  396.4
  137.3  14326  -47.9  -80.7      1   0.00    290     17  397.4  397.4  397.4
  131.0  14630  -49.6  -82.0      1   0.00    270     19  399.5  399.5  399.5
  126.0  14888  -51.1  -83.1      1   0.00    270     27  401.3  401.3  401.3
  125.1  14935  -50.5  -82.5      1   0.00    270     28  403.3  403.3  403.3
  124.0  14992  -49.7  -81.7      1   0.00    275     29  405.7  405.7  405.7
  119.4  15240  -50.6  -82.6      1   0.00    295     32  408.5  408.5  408.5
  115.0  15483  -51.5  -83.5      1   0.00    303     25  411.2  411.2  411.2
  113.9  15545  -51.3  -83.3      1   0.00    305     23  412.7  412.7  412.7
  111.0  15714  -50.7  -82.7      1   0.00    327     18  416.9  416.9  416.9
